372 4
3.23535 1.62012 | -0.0100155 -7.15982 -1.81574 -0.308894 
3.30371 1.56152 | -0.00901123 -7.8991 55.7775 
3.44824 1.4541 | -0.00627324 -9.85134 137.533 
3.32324 1.31543 | -0.00975003 -6.4854 48.1221 
3.30762 1.43066 | -0.00969978 -6.99105 46.1504 
3.37402 1.48926 | -0.00787999 -8.65542 104.307 
3.19434 1.45215 | -0.0119772 -5.17766 -56.222 -0.100769 
3.0791 1.31738 | -0.014634 -2.42527 -150.131 -0.0269596 
3.19824 1.21777 | -0.012532 -3.67815 -76.1861 -0.00562332 
3.0791 1.09277 | -0.0146568 -1.07191 -172.592 -0.000198815 
3.27051 1.04004 | -0.0107843 -3.91386 -26.7633 -5.9914e-06 
3.35645 1.08887 | -0.00900284 -5.74147 51.8603 
3.29785 1.15527 | -0.0104272 -5.03399 9.90888 
3.43262 1.15137 | -0.0072829 -7.56684 101.873 
3.56152 1.0127 | -0.00361171 -9.4969 90.22 
3.50684 1.28223 | -0.00535419 -9.878 128.086 
3.64746 1.37988 | -0.00122499 -13.6083 78.1229 
3.7002 1.4541 | 0.000651536 
3.73926 1.35059 | 0.00141991 
3.77246 1.27637 | 0.00228465 
3.94043 1.27637 | 0.00784927 
3.99902 0.999023 | 0.0102688 
3.70996 0.942383 | 0.000963486 
3.65137 0.887695 | -0.000459991 -10.9076 25.9346 
3.59473 0.958008 | -0.00246178 -9.95523 70.0363 
3.60645 0.844727 | -0.00145692 -9.7052 52.1881 
3.61035 0.762695 | -0.000696731 -9.46282 41.6681 
3.66309 0.838867 | 0.000210374 
3.71582 0.764648 | 0.00237242 
3.99902 0.499023 | 0.0147785 
3.74902 0.249023 | 0.0105383 
3.50098 0.250977 | 0.00343186 
3.62598 0.375977 | 0.00462424 
3.62402 0.499023 | 0.00269211 
3.56152 0.436523 | 0.00186643 
3.49902 0.499023 | -0.0007117 -6.22722 49.8992 
3.37402 0.499023 | -0.00380301 -3.73326 5.28344 
3.31152 0.436523 | -0.00431619 -2.42148 -49.8367 -0.201773 
3.37402 0.374023 | -0.00189432 -3.46043 -7.21656 -0.265317 
3.31152 0.311523 | -0.00225125 -2.18771 -62.3367 -0.397303 
3.31348 0.250977 | -0.00109524 -2.13817 -66.6906 -0.507304 
3.37598 0.250977 | 0.000335664 
3.49902 0.249023 | 0.00341818 
3.37402 0.124023 | 0.00286057 
3.25098 0.125977 | 8.07808e-05 
3.31348 0.188477 | 0.000130097 
3.31152 0.249023 | -0.00110159 -2.10013 -68.5867 -0.51229 
3.24902 0.249023 | -0.00245193 -0.988779 -126.06 -0.552549 
3.18652 0.249023 | -0.00372415 0.0683165 
3.18652 0.186523 | -0.00249637 0.136371 
3.24902 0.124023 | 8.17574e-05 
3.12402 0.124023 | -0.00238455 1.18774 
3.00098 0.250977 | -0.00707791 2.88451 
3.00098 0.500977 | -0.011198 2.41454 
3.00684 0.635742 | -0.0128063 1.94987 
3.08301 0.688477 | -0.0120864 0.66982 
3.1377 0.65332 | -0.0107187 -0.0556146 -181.974 -0.037228 
3.27246 0.512695 | -0.0062744 -1.90129 -77.6736 -0.123969 
3.31348 0.579102 | -0.00624655 -2.8191 -33.8781 -0.067153 
3.37598 0.53418 | -0.00423762 -3.86137 10.101 
3.38184 0.665039 | -0.00567081 -4.3659 26.9957 
3.49316 0.688477 | -0.0031607 -6.66791 68.7072 
3.31738 0.735352 | -0.00785557 -3.40392 -14.8781 -0.0107201 
3.30762 0.776367 | -0.00843719 -3.38091 -19.2792 -0.00555244 
3.33301 0.864258 | -0.0085357 -4.20701 11.1218 
3.3877 0.805664 | -0.00683879 -4.99564 44.7172 
3.37793 0.915039 | -0.00781279 -5.27859 49.4729 
3.33691 0.999023 | -0.00917035 -4.9072 27.768 
3.31152 0.918945 | -0.00935524 -4.05625 -1.59456 -9.55509e-05 
3.2373 0.977539 | -0.0112451 -3.02037 -64.2397 -6.15167e-07 
3.1123 0.84668 | -0.0129286 -0.383984 -179.537 -0.00146314 
3.04199 0.811523 | -0.0139014 0.81366 
3.01074 0.881836 | -0.0149147 0.961471 
2.99902 0.999023 | -0.0157117 0.573993 
2.78809 0.53418 | -0.0146084 4.97358 
2.65918 0.911133 | -0.0195571 4.90711 
2.0127 0.77832 | -0.020371 8.48442 
2.42285 0.592773 | -0.0183161 7.87986 
2.54004 0.0947266 | -0.00912744 7.95227 
2.84863 0.331055 | -0.0107421 4.72477 
2.99902 -0.000976563 | -0.00169217 3.06911 
2.84863 -0.0908203 | -0.00163058 4.97815 
2.98535 -0.194336 | 0.0031095 
2.81934 -0.301758 | 0.00388854 
2.63379 -0.477539 | 0.0075231 
2.55566 -0.264648 | 0.00021692 
2.49902 -0.000976563 | -0.0071824 8.27066 
2.24902 -0.250977 | -0.00142264 9.41188 
2.25098 -0.499023 | 0.00639279 
2.49902 -0.500977 | 0.00732736 
2.3252 -0.87207 | 0.0205915 
3.00098 -0.999023 | 0.0322727 
3.50098 -0.499023 | 0.0232922 
3.99902 -0.500977 | 0.0387981 
0.87207 0.883789 | -0.00386613 -0.787606 -165.734 -1.44543 
0.941176 0.941176
