452 4
1.13812 1.59027 | -0.00970105 -1.48097 -87.9302 -0.0230477 
1.21698 1.54095 | -0.0116742 -0.194133 -26.7879 -0.164019 
1.33331 1.55487 | -0.0137292 0.869335 
1.3161 1.60419 | -0.0130536 0.31842 
1.2569 1.64471 | -0.0116279 -0.59745 20.9833 
1.32172 1.74017 | -0.0118683 -0.76543 89.3548 
1.43268 1.68121 | -0.0142965 0.698707 
1.48517 1.69598 | -0.0149302 0.968461 
1.48248 1.54572 | -0.0161565 2.16702 
1.36469 1.32562 | -0.0153647 2.80386 
1.21259 1.4245 | -0.0122461 0.621297 
1.09467 1.49677 | -0.00940166 -1.29264 -124.552 -0.0557993 
1.02448 1.42389 | -0.00818015 -1.67732 -155.838 -0.0592353 
1.00226 1.25665 | -0.00812205 -0.861055 -174.319 -0.404519 
1.12286 1.26764 | -0.010852 0.639894 
1.1347 1.29144 | -0.0110678 0.630882 
1.23553 1.28827 | -0.0131202 1.79252 
1.16412 1.22137 | -0.011765 1.4186 
1.14032 1.04291 | -0.011024 2.14857 
1.35443 1.24261 | -0.015332 3.24561 
1.62994 1.13702 | -0.0192107 5.81696 
1.65216 1.47491 | -0.0187429 3.72134 
2.00006 1.00006 | -0.0217005 7.49969 
2.33075 1.32159 | -0.0221812 4.87378 
2.51666 1.08185 | -0.0213576 5.22026 
2.97174 1.01349 | -0.0161963 0.874601 
2.89423 1.23273 | -0.0176698 0.647903 
2.84235 1.36188 | -0.0181119 0.435814 
2.89056 1.27106 | -0.0176807 0.453367 
2.95209 1.30878 | -0.0167253 -0.577176 -162.367 -0.0243751 
2.9704 1.4184 | -0.0160879 -1.56901 -155.567 -0.0806452 
2.85712 1.42059 | -0.0176954 -0.146942 -101.421 -0.0792172 
2.76776 1.43207 | -0.0187379 0.779501 
2.69708 1.46747 | -0.0193137 1.24187 
2.58966 1.36957 | -0.0206941 2.89613 
2.50006 1.50006 | -0.0206993 2.63801 
2.52618 1.63934 | -0.0195058 1.35868 
2.57013 1.72748 | -0.0183477 0.282275 
2.6817 1.64801 | -0.0181725 -0.0170469 77.2367 
2.73566 1.59882 | -0.0180402 -0.148801 23.4088 
2.66437 1.59418 | -0.0187899 0.581328 
2.67596 1.53412 | -0.0191182 0.94309 
2.75006 1.50006 | -0.018574 0.467656 
2.81256 1.56256 | -0.0174332 -0.6891 -51.1723 -0.230061 
